Name,Gender,Race,Age,Phone Number,Date of Birth,Aadhar Number,Address,State
vinod,Male,Indian,64,5761019889,11-11-1958,3990 0000 0000,"H.No. 582, Ahluwalia Marg, Malda 533957",Madhya Pradesh
gulshan,Female,Indian,89,6425979897,17-3-1933,3530 0000 0000,"66/992
Ramanathan, Bhilai-215652",Manipur
amit,Female,Indian,35,2892394960,18-3-1987,6390 0000 0000,"74/406, Shankar Street
Etawah-700393",Chhattisgarh
anupumaghosh,Male,Indian,10,6057099578,19-3-2012,7130 0000 0000,"H.No. 454
Chakrabarti Nagar
Parbhani-751248",Chhattisgarh
swatithakur,Male,Indian,74,5108664814,14-7-1948,2120 0000 0000,"30/20, Bhagat
Mangalore-441009",Sikkim
mohdkausar,Male,Indian,49,4567143729,23-1-1973,2880 0000 0000,"H.No. 12
Dara Marg
Purnia-360187",Jharkhand
sarojani,Female,Indian,10,4608810935,2-12-2012,9330 0000 0000,"73
Mann Nagar
Kavali 774433",Arunachal Pradesh
reena,Male,Indian,12,8609590374,6-11-2010,5420 0000 0000,"568, Sem Marg
Mangalore 193152",Madhya Pradesh
rahilamaqbool,Female,Indian,52,4953440944,14-2-1970,3830 0000 0000,"09/650
Ranganathan Road, Thiruvananthapuram 414483",West Bengal
chanchal,Female,Indian,94,7394083397,20-9-1928,6240 0000 0000,"12/34
Bassi Path
Srikakulam 815886",Haryana
sarain,Male,Indian,76,9665395574,30-4-1946,5930 0000 0000,"114, Chauhan Zila, Raiganj 208993",Haryana
rajkumari,Male,Indian,97,4666666243,24-11-1925,7390 0000 0000,"179, Cheema Marg, Delhi-733910",Haryana
simran,Male,Indian,67,4111162894,15-9-1955,5120 0000 0000,"700
Ratta Street, Ahmedabad-176270",Andhra Pradesh
mohdshakib,Male,Indian,66,1917419688,17-9-1956,8400 0000 0000,"492, Chowdhury Street
Deoghar-297590",Madhya Pradesh
adityasom,Male,Indian,48,8284415478,23-10-1974,2850 0000 0000,"00/633
Jha Circle, Mysore-759810",Telangana
shivani,Male,Indian,22,1760989962,9-1-2000,9930 0000 0000,"53
Golla Street, Munger-121308",Kerala
sunita,Male,Indian,61,1422474647,21-9-1961,1290 0000 0000,"H.No. 324
Bava Path
Proddatur-912883",Nagaland
neetu,Female,Indian,89,7908228582,26-5-1933,4150 0000 0000,"585
Bobal Street, Kadapa 000250",Chhattisgarh
rohit,Female,Indian,29,7293061051,28-11-1993,7080 0000 0000,"H.No. 77, Solanki, Amaravati 135257",Andhra Pradesh
laxmikumari,Male,Indian,92,4083322249,18-11-1930,1540 0000 0000,"H.No. 640
Sandhu Nagar, Machilipatnam 675886",Goa
badshyakhan,Male,Indian,56,4346771092,15-12-1966,7530 0000 0000,"H.No. 466, Cherian Chowk
Parbhani-140324",Madhya Pradesh
priti,Male,Indian,72,2002950886,16-8-1950,6680 0000 0000,"42/05
Saraf Circle, Mehsana-988035",Tripura
kajal,Male,Indian,25,4430896204,26-9-1997,9200 0000 0000,"H.No. 385, Chopra Zila, Hazaribagh-552449",Sikkim
dharmbir,Female,Indian,97,3325104310,13-3-1925,1720 0000 0000,"45/558, Kala Circle, Vijayawada-745881",Uttar Pradesh
vikjaykumar,Male,Indian,7,1590574945,30-6-2015,5970 0000 0000,"H.No. 03
Sarraf Nagar
Ujjain-014662",Manipur
rubi,Male,Indian,76,1697710020,31-8-1946,4560 0000 0000,"H.No. 159, Borde Road
Ambarnath-164384",Uttarakhand
saddam,Male,Indian,95,7134167997,15-10-1927,2620 0000 0000,"62/11, Manne Path
Meerut 444543",Telangana
shelenderyadav,Female,Indian,43,9070036125,4-10-1979,1310 0000 0000,"H.No. 333, Ratti Ganj
Chapra-889527",Assam
nazmin,Female,Indian,66,7866324817,30-7-1956,5880 0000 0000,"H.No. 99, Salvi Circle, Jalandhar-039284",Uttarakhand
anita,Male,Indian,83,2761039521,26-8-1939,8640 0000 0000,"66/30, Kale Chowk
Giridih 003347",Bihar
mohankumar,Male,Indian,63,1597253082,20-7-1959,8650 0000 0000,"81/941
Kala Marg
Udupi 106396",Andhra Pradesh
pinki,Male,Indian,69,1472383559,28-6-1953,7910 0000 0000,"26
Tank Path
Tumkur 510722",Chhattisgarh
gulfam,Female,Indian,91,9268308353,24-8-1931,7590 0000 0000,"78/69
Issac Marg, Ballia 989278",Jharkhand
aman,Male,Indian,100,7138078592,24-4-1922,2810 0000 0000,"09/39
Issac Street, Tadepalligudem 711580",Madhya Pradesh
sunil,Male,Indian,6,5392472516,23-2-2016,6780 0000 0000,"83/004, Chaudhari Ganj, Gandhinagar 882040",Rajasthan
pooja,Female,Indian,63,5260928246,26-5-1959,7920 0000 0000,"54/030, Khosla Ganj, Proddatur-760958",Arunachal Pradesh
mohdaakib,Female,Indian,67,8086229570,18-7-1955,1660 0000 0000,"89/803
Soman Circle, Bhiwandi 603341",Meghalaya
rajuchhotu,Female,Indian,27,3043464597,19-4-1995,3970 0000 0000,"16/374, Gill Ganj
Hyderabad-789115",Uttar Pradesh
kishan,Male,Indian,69,8206533058,28-1-1953,9420 0000 0000,"08
Sandhu Ganj
Aizawl-157668",Jharkhand
gurmitsingh,Female,Indian,21,1979506488,19-2-2001,7850 0000 0000,"34
Balay Circle
Agra 903046",Maharashtra
amitkumar,Male,Indian,50,1388800373,30-4-1972,6220 0000 0000,"65/736, Chand Street
Kanpur-325728",Uttarakhand
varunivatsa,Male,Indian,34,3751358998,6-11-1988,3080 0000 0000,"H.No. 53, Gill Marg, Ajmer 248952",Karnataka
aakanksha,Male,Indian,33,5632890592,19-3-1989,8320 0000 0000,"17
Chandran Chowk
Chandrapur 636162",Goa
pooja,Female,Indian,67,7988495437,18-3-1955,4600 0000 0000,"H.No. 763, Soman Circle, Thrissur 227156",Mizoram
dipendrakumar,Female,Indian,50,7854076309,18-5-1972,3240 0000 0000,"H.No. 112
Kurian
Hapur 204806",Arunachal Pradesh
nikitasenger,Male,Indian,65,2253921589,12-7-1957,2240 0000 0000,"57/693
Sathe Chowk
Raebareli-038458",Chhattisgarh
anshu,Female,Indian,20,6205582525,12-3-2002,4430 0000 0000,"31/390, Sundaram Street
Serampore 309572",Nagaland
rohit,Female,Indian,53,7072613818,15-4-1969,3750 0000 0000,"H.No. 924
Sha Marg, Kozhikode 752975",Odisha
jaswantsingh,Female,Indian,94,7336363560,3-3-1928,2610 0000 0000,"12, Aggarwal Chowk, Burhanpur 725284",Haryana
sitara,Male,Indian,30,9111137065,22-3-1992,8870 0000 0000,"21
Savant Circle, Tenali 445334",Odisha
mohdshahid,Female,Indian,37,2560629722,19-11-1985,8130 0000 0000,"H.No. 37, Kar Zila
Ongole 532384",Manipur
rubi,Female,Indian,50,8679149855,13-10-1972,7070 0000 0000,"99, Bhat Street
Panipat 747781",Manipur
mazida,Female,Indian,18,7190431898,24-3-2004,8630 0000 0000,"78, Kibe Path
Bhimavaram 384831",Tamil Nadu
shyamkumar,Male,Indian,64,1358038574,27-6-1958,6460 0000 0000,"H.No. 226, Acharya Nagar
Ludhiana 545881",Madhya Pradesh
mohammadali,Male,Indian,35,4943405003,10-4-1987,3660 0000 0000,"H.No. 627, Bath Chowk
Guntakal 962363",Manipur
rajia,Male,Indian,95,8191486151,30-1-1927,6330 0000 0000,"85
Ramachandran Road, Hazaribagh-627645",Chhattisgarh
poonam,Male,Indian,19,5783015435,20-7-2003,1520 0000 0000,"84/26, Gara Zila
Tenali 093075",Odisha
rajakumar,Male,Indian,31,2677873807,7-9-1991,1050 0000 0000,"44/31
Bhagat Road
Solapur 506654",Kerala
gyatridevi,Male,Indian,31,8851672056,25-4-1991,1270 0000 0000,"H.No. 669, Chacko Marg, Chinsurah 466162",Maharashtra
sevakpitambarlal,Male,Indian,21,8559442067,3-10-2001,7050 0000 0000,"H.No. 226, Boase Street, Gurgaon 103476",Assam
payalgoyala,Female,Indian,80,5418312505,26-7-1942,9630 0000 0000,"09/22, Agrawal Ganj
Ozhukarai-435887",Sikkim
asha,Male,Indian,64,4377044616,27-8-1958,9130 0000 0000,"45
Kala Road
New Delhi-390973",Maharashtra
kunalkannu,Female,Indian,18,2901078713,19-3-2004,8740 0000 0000,"H.No. 466, Wagle Circle, Bidhannagar-711368",Chhattisgarh
vivek,Male,Indian,100,6893475838,15-7-1922,2410 0000 0000,"32/45, Ahluwalia Ganj, Bhubaneswar 585450",Karnataka
rajkumar,Male,Indian,97,8338517883,6-5-1925,6590 0000 0000,"82/46, Roy Nagar
Bhatpara 357686",Kerala
rizwan,Male,Indian,57,9428694140,27-2-1965,5170 0000 0000,"H.No. 35, Wason, Karimnagar 070878",West Bengal
abhijeet,Female,Indian,3,5993113922,17-8-2019,2330 0000 0000,"91/33, Batra Road, Kumbakonam-240414",Karnataka
aamirhussain,Female,Indian,58,9691559933,12-11-1964,6510 0000 0000,"215, Kunda
Satna 600541",Arunachal Pradesh
kamni,Female,Indian,19,5512152839,25-7-2003,4140 0000 0000,"470, Vohra Path
Raebareli-175567",Odisha
pinki,Male,Indian,62,9421781801,27-1-1960,4220 0000 0000,"66/95, Tank Marg
Mehsana 483434",Rajasthan
kamla,Male,Indian,96,7069536361,4-2-1926,2360 0000 0000,"85/866
Suresh Road
Karimnagar 164197",Tripura
sheetal,Female,Indian,25,6657179206,19-12-1997,7320 0000 0000,"H.No. 021
Brahmbhatt Marg
Tumkur-306274",Maharashtra
arjun,Male,Indian,49,2301236997,8-2-1973,2060 0000 0000,"93/194
Bhargava Nagar, Nagaon 795622",Odisha
anjali,Female,Indian,57,7070628010,1-2-1965,7530 0000 0000,"H.No. 21, Arora Ganj, Vellore 805554",Karnataka
lalitrana,Male,Indian,89,1766683820,23-3-1933,4760 0000 0000,"335
Bir Zila
Bangalore-712031",Telangana
rahulsharma,Female,Indian,65,7358427279,13-6-1957,7090 0000 0000,"13/01
Bhargava Road, Pune-555446",Andhra Pradesh
mansi,Male,Indian,14,6209689371,25-12-2008,6160 0000 0000,"832, Borde Street, Pudukkottai-898060",Maharashtra
pawan,Male,Indian,23,5330124455,13-8-1999,6370 0000 0000,"15/978
Lala Path
Korba-890086",Tamil Nadu
irfan,Female,Indian,26,6662851650,27-7-1996,8620 0000 0000,"78/765, Bala Chowk
Kolkata 421348",Mizoram
shivprakash,Female,Indian,55,4360567414,7-4-1967,4340 0000 0000,"73/01, Sanghvi Chowk
Panipat 833412",Tripura
sheetal,Female,Indian,5,6338892448,26-12-2017,5070 0000 0000,"59
Cheema Nagar
Jorhat-927584",Haryana
sachin,Female,Indian,92,1422059580,26-8-1930,4450 0000 0000,"60
Edwin Path, Erode-987795",Rajasthan
shubhamyadav,Male,Indian,52,6896603837,20-9-1970,2390 0000 0000,"32, Doctor Ganj, Nagercoil 660404",Manipur
priya,Male,Indian,71,2918850788,18-6-1951,2410 0000 0000,"61, Krishnan Path, Burhanpur 817069",Karnataka
pintuthakur,Female,Indian,25,2067614929,8-5-1997,3630 0000 0000,"36
Varghese Circle
Agartala-882612",Bihar
renurinki,Female,Indian,57,2788867641,10-7-1965,5240 0000 0000,"H.No. 239, Chana Chowk
Phusro-960532",Uttar Pradesh
preeti,Male,Indian,81,4161392198,15-9-1941,7050 0000 0000,"83/934, Dani Marg
Sambhal 336018",Arunachal Pradesh
jagdish,Male,Indian,24,3269701842,14-2-1998,7430 0000 0000,"65/72
Sule Circle
Dhule-090265",Jharkhand
meera,Female,Indian,25,1886904298,5-12-1997,3470 0000 0000,"64/969, Sanghvi Marg, Tirupati-291865",Uttarakhand
rohit,Female,Indian,37,1041399390,21-3-1985,5170 0000 0000,"29/18, Badal, Arrah-157525",Odisha
gulbasha,Male,Indian,55,8028065280,26-8-1967,9210 0000 0000,"H.No. 66, Sani Chowk
Ulhasnagar-304029",Tamil Nadu
monika,Male,Indian,9,8868172823,7-3-2013,9330 0000 0000,"94/583, Sood Marg, Muzaffarpur 347035",West Bengal
mohd.mukhtaar,Male,Indian,21,3711480389,1-9-2001,1740 0000 0000,"47/20, Vasa Street
Sambhal-326683",Goa
farhanabaigum,Male,Indian,10,7697159965,15-11-2012,4960 0000 0000,"000, Bhakta Street, Bally 477857",Maharashtra
ramji,Male,Indian,71,6722880919,7-10-1951,9550 0000 0000,"80
Yogi, Ambarnath 221472",Rajasthan
roshni,Male,Indian,53,4099264785,3-9-1969,2840 0000 0000,"944, Lanka Path
Hosur-337543",Himachal Pradesh
priyasexena,Male,Indian,38,9805505905,4-1-1984,6590 0000 0000,"13/312, Dewan, Raurkela Industrial Township-935656",Meghalaya
kailashkumar,Female,Indian,69,7839906631,6-9-1953,7460 0000 0000,"H.No. 75, Batta Road, North Dumdum 808979",Sikkim
preeti,Male,Indian,72,3589947346,17-9-1950,1080 0000 0000,"19/38
Sarraf Street, Karnal 709103",Manipur
jyoti,Female,Indian,100,4461485729,17-7-1922,4110 0000 0000,"83/710
Sethi Circle
Rajpur Sonarpur-912141",Meghalaya
harmansingh,Male,Indian,35,7016421182,2-12-1987,9470 0000 0000,"472
Johal Circle
Hubli–Dharwad 998188",Manipur
rinkumalav,Female,Indian,70,6791550029,16-10-1952,4310 0000 0000,"H.No. 30
Rege Ganj, Mangalore-648759",Tamil Nadu
dinesh,Female,Indian,24,9559571121,14-2-1998,3580 0000 0000,"42/60, Singhal Marg, Noida 736246",Haryana
ramvilash,Female,Indian,11,1102029732,31-12-2011,2690 0000 0000,"08/989
Sama Path, Gorakhpur 068719",Uttar Pradesh
anjalijuneja,Male,Indian,33,5794871421,20-3-1989,4870 0000 0000,"H.No. 62
Doctor Marg
Raebareli 484825",Karnataka
nausad,Male,Indian,79,4697074105,24-10-1943,4200 0000 0000,"10/243
Kaul Chowk
Ghaziabad-087981",Arunachal Pradesh
kmsunita,Female,Indian,45,4408940603,31-8-1977,8500 0000 0000,"21/716, Chakraborty Zila
Ballia 242835",Himachal Pradesh
riyamasi,Female,Indian,73,5743723964,9-5-1949,8770 0000 0000,"406, Yadav Marg
Kumbakonam 700430",Madhya Pradesh
anshu,Male,Indian,58,1593804313,12-11-1964,3830 0000 0000,"H.No. 83, Bala, Alappuzha-165189",Karnataka
versha,Male,Indian,27,7861802678,12-2-1995,8780 0000 0000,"61/73, Raman Marg
Hajipur 012029",West Bengal
aman,Male,Indian,89,8083402434,9-6-1933,9050 0000 0000,"98
Boase Path, Hosur 941992",Meghalaya
kajalchoudhary,Male,Indian,47,9364705222,26-4-1975,4710 0000 0000,"14
Acharya Marg
Berhampore-964820",Assam
parvesh,Female,Indian,15,7201402316,1-2-2007,9220 0000 0000,"H.No. 54
Raj Marg
Gwalior-186280",Arunachal Pradesh
sukhdev,Female,Indian,93,4279259783,21-10-1929,4280 0000 0000,"55/63
Uppal Nagar
Medininagar 470609",Tripura
silender,Male,Indian,50,4019430949,31-10-1972,9870 0000 0000,"36
Kakar Ganj
Orai 615891",Telangana
supriyalsen,Female,Indian,26,7147755593,20-9-1996,2490 0000 0000,"363
Dara Street, Anand 999686",Himachal Pradesh
pooja,Male,Indian,70,7183708208,8-10-1952,5000 0000 0000,"86
Ganesan Ganj, Cuttack 002260",Tripura
tapasdas,Male,Indian,53,5695154431,13-2-1969,3300 0000 0000,"773
Balay
Vasai-Virar 545638",Andhra Pradesh
santlalgolu,Female,Indian,29,1582641395,19-4-1993,2690 0000 0000,"66
Wason Street, Ramgarh-430579",West Bengal
santoshsingal,Female,Indian,42,5376364695,1-3-1980,9090 0000 0000,"65/112, Konda Chowk
Kochi 160677",Uttar Pradesh
virender,Male,Indian,52,3115128005,17-5-1970,1410 0000 0000,"51/57
Dhar Nagar
Rajpur Sonarpur-733563",Gujarat
minakchi,Female,Indian,85,2362981505,7-8-1937,8180 0000 0000,"21/419, Taneja Ganj
Kumbakonam 973187",Goa
lalita,Female,Indian,97,2738566347,28-8-1925,6620 0000 0000,"55/045
Chand
Vijayanagaram-056448",Tamil Nadu
doly,Female,Indian,36,4677242965,9-12-1986,6220 0000 0000,"H.No. 28
Raju Road, Gandhidham 893949",Bihar
divya,Male,Indian,41,1918828660,24-8-1981,1690 0000 0000,"86/94, Grewal Zila
Bhalswa Jahangir Pur 198155",Jharkhand
meena,Female,Indian,99,7071506936,23-11-1923,5470 0000 0000,"81
Kant Road
Gurgaon 255024",Assam
arvindkumaryadav,Female,Indian,90,3407166858,22-1-1932,9660 0000 0000,"99/47, Contractor Path, Tinsukia 108601",Uttar Pradesh
vikash,Male,Indian,75,8318422244,6-4-1947,5260 0000 0000,"01/80, Sood Circle, Nadiad-925643",Arunachal Pradesh
jyoti,Female,Indian,60,7890506216,14-10-1962,3230 0000 0000,"81/715, Mane Marg
Shahjahanpur 748414",Andhra Pradesh
farmaankhan,Male,Indian,8,5844158789,23-10-2014,1100 0000 0000,"08
Bedi Chowk, Karaikudi-042180",Odisha
mayankchaudharyrahul,Female,Indian,98,2307327965,14-10-1924,6550 0000 0000,"203, Garde Path, Jorhat 958939",Punjab
humakhan,Female,Indian,87,7470258418,24-7-1935,3400 0000 0000,"H.No. 012, Shankar Ganj
Kavali 621090",Rajasthan
adnan,Male,Indian,27,1058230845,11-8-1995,7290 0000 0000,"097, Sekhon Ganj
Bhusawal 691246",Bihar
kusum,Female,Indian,33,9460526195,13-10-1989,6650 0000 0000,"80/93
Chakraborty Road, Howrah-164647",Manipur
pulkitsharma,Female,Indian,19,1755358914,11-11-2003,4800 0000 0000,"849
Ghose Ganj
Visakhapatnam 805182",West Bengal
sheakshakir,Female,Indian,72,6392208635,24-4-1950,5840 0000 0000,"26/50
Chandra Zila, Nagaon-810616",Bihar
pooja,Female,Indian,60,4659864679,26-4-1962,9690 0000 0000,"64/78
Sangha Street
Bareilly 652613",Madhya Pradesh
saroj,Male,Indian,51,3079090907,18-10-1971,9010 0000 0000,"71
Roy Circle
Ramagundam-376426",Tripura
veerbhansingh,Female,Indian,34,8101108210,27-5-1988,3700 0000 0000,"97, Khosla Path, Pondicherry 484109",Chhattisgarh
mohdkhairul,Male,Indian,46,2273260834,20-8-1976,2260 0000 0000,"H.No. 887
Mall Road, Nagercoil 961470",Jharkhand
rakhi,Female,Indian,44,1683821104,19-10-1978,8110 0000 0000,"02/976
Sarma Chowk
Ambala-527552",Uttarakhand
leelawithachild,Male,Indian,47,5619738605,21-6-1975,2050 0000 0000,"H.No. 623
Balan Road
Madhyamgram-337843",Bihar
kaushaliya,Male,Indian,30,9491731862,14-12-1992,2450 0000 0000,"14/81, Ghosh Chowk, Cuttack-545314",Sikkim
gurmitsingh,Female,Indian,30,7649192353,10-9-1992,4400 0000 0000,"H.No. 03
Samra Marg, Bhopal-480345",Telangana
savitasagar,Female,Indian,27,4764623492,26-4-1995,3760 0000 0000,"16/037
Sengupta Nagar
Kottayam-762488",Madhya Pradesh
komal,Male,Indian,75,4385616278,1-2-1947,5300 0000 0000,"H.No. 971
Golla Circle, Asansol 137313",Assam
naharsingh,Male,Indian,85,4293497390,24-3-1937,7910 0000 0000,"28, Anne Street
Solapur-720252",Manipur
manju,Male,Indian,16,9869635826,4-3-2006,3270 0000 0000,"04/15, Chawla Street, Sagar 361385",Andhra Pradesh
vandana,Male,Indian,5,1528127829,18-9-2017,1700 0000 0000,"03/88, Mani, Sultan Pur Majra 901935",Arunachal Pradesh
sunita,Female,Indian,69,9113968435,14-11-1953,3830 0000 0000,"26/81
Dyal, Ghaziabad-940707",Chhattisgarh
rahulkumar,Male,Indian,84,3931944173,12-8-1938,3290 0000 0000,"46/398
Shanker Circle, Jamalpur-552696",Maharashtra
gopalsharma,Female,Indian,76,2134965788,11-6-1946,3740 0000 0000,"72/35, Kaur, Bardhaman-159017",Telangana
mohabbatali,Male,Indian,18,4150711325,10-11-2004,7120 0000 0000,"H.No. 52, Keer Road, Ranchi 607098",Goa
ravindrakumar,Male,Indian,3,1402114919,13-9-2019,8330 0000 0000,"087
Loke Ganj, Lucknow-716289",Tamil Nadu
pooja,Male,Indian,67,4253685408,1-7-1955,1640 0000 0000,"H.No. 678, Lalla Nagar, Bulandshahr-335509",Chhattisgarh
ruby,Female,Indian,36,4052649727,30-11-1986,8600 0000 0000,"H.No. 363
Gill Marg, Bally 831058",Kerala
rubina,Female,Indian,19,4362715967,24-7-2003,1820 0000 0000,"33/91, Tara Path
Ongole-552219",Nagaland
shajiya,Female,Indian,21,7435252131,24-5-2001,2730 0000 0000,"H.No. 060
Koshy Path, Ichalkaranji 372168",Maharashtra
poojakashyap,Female,Indian,47,7503578463,20-10-1975,3240 0000 0000,"11/087, Jaggi Marg, Danapur-184122",Odisha
priyajain,Female,Indian,90,8222412156,25-9-1932,8080 0000 0000,"H.No. 95, Kashyap Road
Deoghar-463591",Meghalaya
jagdish,Male,Indian,12,9128566411,19-11-2010,7490 0000 0000,"H.No. 619, Ganesan Zila
Satara 436915",Andhra Pradesh
tarjan,Female,Indian,65,8211686784,13-11-1957,1690 0000 0000,"34/10, Bhalla Street, Jaipur-081569",Gujarat
ravikumar,Female,Indian,58,3407795752,2-9-1964,6540 0000 0000,"H.No. 270
De Marg, Guntur 351373",Kerala
charu,Female,Indian,91,6857022826,1-1-1931,6320 0000 0000,"H.No. 624, Aggarwal Path
Bareilly 764635",Uttarakhand
poonam,Male,Indian,52,2675645527,20-6-1970,7040 0000 0000,"H.No. 633
Thaman Marg, Latur 132991",Uttar Pradesh
vikramsingh,Male,Indian,98,5884655299,23-11-1924,9570 0000 0000,"226
Kapoor Ganj
Udaipur-662069",Gujarat
sanjay,Female,Indian,18,4611151294,28-2-2004,6820 0000 0000,"19/368, Sankar, Gwalior-428310",Maharashtra
axat,Male,Indian,18,3857455290,8-7-2004,5540 0000 0000,"01/19
Tandon Nagar, Surat 524727",Uttar Pradesh
preetamkumar,Male,Indian,35,9101827034,10-6-1987,9930 0000 0000,"80/704, Thakur Road, Jalandhar-573599",Tamil Nadu
anshu,Female,Indian,41,6360279582,5-3-1981,1330 0000 0000,"160
Keer Street, Surat 307243",Maharashtra
shantidevi,Female,Indian,23,1139618783,29-1-1999,6640 0000 0000,"H.No. 12, Srinivas Path
Phagwara-061074",Maharashtra
maansinghaswal,Male,Indian,11,6263028650,16-8-2011,6420 0000 0000,"H.No. 20, Suresh Chowk
Dewas 013637",Chhattisgarh
sanjaycharee,Female,Indian,82,6358346074,9-10-1940,4100 0000 0000,"81
Rao Zila, Thiruvananthapuram 532509",Assam
nikhil,Male,Indian,36,6252776988,24-4-1986,8120 0000 0000,"34/554
Tandon Street, Varanasi-501847",Bihar
deepak,Female,Indian,82,9825552838,18-4-1940,9450 0000 0000,"15, Bhakta Marg
Coimbatore-662352",West Bengal
himanshu,Male,Indian,6,8832640251,25-10-2016,4510 0000 0000,"70/48
Lata Path
Parbhani 995959",Rajasthan
seema,Male,Indian,52,4619574160,20-3-1970,2180 0000 0000,"87/018
Wadhwa Path, Dibrugarh 342608",Madhya Pradesh
rosymassey,Male,Indian,9,9254223070,28-10-2013,3580 0000 0000,"H.No. 602
Apte Zila, Haridwar-045359",Tripura
madhurisharma,Male,Indian,5,3668097595,24-3-2017,2960 0000 0000,"02/15, Sheth Zila
Tinsukia-501204",Gujarat
chandni,Female,Indian,9,4958285389,14-1-2013,9460 0000 0000,"83/89, Hans Circle, Gorakhpur-601111",Maharashtra
nagmakhatoon,Female,Indian,84,5974488954,28-4-1938,7970 0000 0000,"H.No. 15, Bakshi Ganj, Malda-485067",Himachal Pradesh
poojajayshwal,Male,Indian,34,2746878467,24-4-1988,5570 0000 0000,"44/615, Raval Nagar
Chittoor-652947",Maharashtra
akkash,Male,Indian,57,5431567160,3-11-1965,4600 0000 0000,"H.No. 059
Wagle Ganj, Sikar 439505",Chhattisgarh
roshni,Male,Indian,16,5627753216,23-12-2006,5750 0000 0000,"H.No. 232
Lal Chowk
Bhilwara-666015",Arunachal Pradesh
rakhipayal,Male,Indian,68,7730016116,21-10-1954,8590 0000 0000,"H.No. 506, Bora Ganj, Surat 307589",Uttar Pradesh
sahin,Male,Indian,37,9595948863,30-9-1985,1320 0000 0000,"494, Jha Chowk, Karaikudi 034423",Nagaland
changouraon,Male,Indian,100,5351052412,14-5-1922,2060 0000 0000,"77
Roy Road
Rampur 809603",Kerala
mercy,Female,Indian,86,9381832855,25-2-1936,6790 0000 0000,"767, Rajagopalan Road, Chinsurah-361261",Gujarat
akashgupta,Male,Indian,49,3811907379,28-11-1973,8870 0000 0000,"56/91
Anand Circle
Madurai 313401",Manipur
arun,Female,Indian,65,8673480920,24-9-1957,6200 0000 0000,"488, Choudhary
Ranchi-318154",Kerala
reena,Female,Indian,15,3487607294,23-7-2007,9420 0000 0000,"88/613, Dube Ganj
Haridwar-544413",Arunachal Pradesh
raman,Male,Indian,51,7937096696,3-5-1971,9120 0000 0000,"84/47
Dutta, Shivpuri-050102",Tripura
riyasatali,Male,Indian,45,6733162461,3-2-1977,4460 0000 0000,"H.No. 89, Bhagat
Bahraich 704041",Uttarakhand
rajababu,Male,Indian,62,6460702668,24-1-1960,9800 0000 0000,"H.No. 163, Hari Circle, Navi Mumbai-796950",Gujarat
vinitkatariya,Female,Indian,6,8466656134,3-3-2016,1720 0000 0000,"242, Mall Ganj
Muzaffarpur 722520",Rajasthan
varsha,Female,Indian,95,5702400148,11-7-1927,2460 0000 0000,"H.No. 24, Dhaliwal Zila
Bhalswa Jahangir Pur-397650",Mizoram
murari,Female,Indian,19,7967936475,27-9-2003,2330 0000 0000,"62/320
Vala Street, Hapur 656174",Punjab
nishachinu,Female,Indian,53,4091827847,5-2-1969,7320 0000 0000,"H.No. 50
Gaba
Patna-204123",Karnataka
subhadra,Male,Indian,78,7864792654,29-12-1944,5060 0000 0000,"H.No. 257
Vaidya Zila
Gurgaon-846664",Karnataka
subhashchandbhatia,Female,Indian,39,4461755876,15-1-1983,9620 0000 0000,"H.No. 12
Arora Street, Muzaffarnagar 781974",Madhya Pradesh
basnti,Female,Indian,95,9916043625,2-11-1927,9680 0000 0000,"721
Kota Circle
Hapur-855015",Haryana
pritamsingh,Female,Indian,55,5713397345,23-8-1967,8880 0000 0000,"772
Vohra Zila, Etawah 348956",Bihar
ramkishan,Male,Indian,31,8294965359,19-7-1991,4090 0000 0000,"14
Borah Circle, Sambalpur-826117",Manipur
rahul,Female,Indian,28,5029726866,20-4-1994,4760 0000 0000,"75/429
Sangha Circle, Deoghar 952713",Sikkim
meenakumari,Female,Indian,9,5424304470,18-10-2013,3180 0000 0000,"H.No. 124
Lall Road, Ghaziabad 494380",Nagaland
anita,Female,Indian,45,4972219415,10-10-1977,1800 0000 0000,"H.No. 12
Lata Nagar
Barasat-501611",Madhya Pradesh
neetu,Female,Indian,4,4379937470,3-3-2018,1180 0000 0000,"H.No. 48, Swamy Marg
Agra-013012",Karnataka
salman,Male,Indian,93,2537300994,19-12-1929,2420 0000 0000,"H.No. 253, Chopra Ganj
Shivpuri-625563",Madhya Pradesh
bishun,Female,Indian,82,8526817403,8-9-1940,6810 0000 0000,"H.No. 82
Mammen Road
Khora -272539",Tamil Nadu
ushadevi,Male,Indian,41,9912465298,20-10-1981,1670 0000 0000,"H.No. 23, Jha Marg
Srinagar 252601",Uttarakhand
manishgarg,Male,Indian,8,1827918062,13-7-2014,8700 0000 0000,"92, Bhatti Ganj
Jamalpur 019923",Kerala
pooja,Male,Indian,60,7048780029,4-2-1962,8400 0000 0000,"H.No. 596, Srinivasan Ganj, Kakinada-490045",Assam
sna,Female,Indian,82,1319122884,14-6-1940,9220 0000 0000,"94/64
Kumer, Bhiwani 294685",Mizoram
vijayvirmani,Male,Indian,94,4468297727,6-12-1928,2410 0000 0000,"74/059, Lala Ganj
Hospet 044857",Tripura
akashverma,Male,Indian,80,9843101144,6-12-1942,6560 0000 0000,"70/275
Goel Zila, Navi Mumbai 563972",Bihar
